Set,AttackType,PosX,PosY,Delay,Steps
0,Horizontal,0,3,60,30
1,Horizontal,0,2,60,
2,Horizontal,0,1,60,
3,Horizontal,0,0,60,
4,Vertical,1,0,60,
5,Vertical,2,0,60,
6,Vertical,3,0,60,
7,Vertical,4,0,60,
8,Vertical,5,0,60,
9,Vertical,6,0,60,
10,Vertical,7,0,60,
11,Horizontal,0,3,40,
12,Horizontal,0,2,40,
13,Horizontal,0,1,40,
14,Horizontal,0,0,40,
15,Vertical,1,0,40,
16,Vertical,2,0,40,
17,Vertical,3,0,40,
18,Vertical,4,0,40,
19,Vertical,5,0,40,
20,Vertical,6,0,40,
21,Vertical,7,0,40,
22,Horizontal,0,3,30,
23,Horizontal,0,2,30,
24,Horizontal,0,1,30,
25,Horizontal,0,0,30,
26,Vertical,1,0,30,
27,Vertical,2,0,30,
28,Vertical,3,0,30,
29,Vertical,4,0,30,
30,Vertical,5,0,30,
31,Vertical,6,0,30,
32,Vertical,7,0,30,
33,Horizontal,0,3,30,
34,Vertical,1,0,0,
35,Vertical,7,0,30,
36,Horizontal,0,0,30,
37,Vertical,2,0,0,
38,Vertical,6,0,30,
39,Horizontal,0,2,30,
40,Vertical,3,0,0,
41,Vertical,5,0,30,
42,Horizontal,0,1,30,
43,Vertical,4,0,30,
44,Vertical,4,0,30,
45,Horizontal,0,1,30,
46,Vertical,5,0,0,
47,Vertical,3,0,30,
48,Horizontal,0,2,30,
49,Vertical,6,0,0,
50,Vertical,2,0,30,
51,Horizontal,0,0,30,
52,Vertical,7,0,0,
53,Vertical,1,0,30,
54,Horizontal,0,3,30,
55,Horizontal,0,0,0,
56,Horizontal,0,1,30,
57,Vertical,1,0,0,
58,Vertical,2,0,0,
59,Vertical,3,0,30,
60,Horizontal,0,2,0,
61,Horizontal,0,3,30,
62,Vertical,5,0,0,
63,Vertical,6,0,0,
64,Vertical,7,0,30,
